MDEC-23,SpMin1_Bhs,GATS8s,CrippenMR,SpMax5_Bhv,Class
42.695,1.9812,0.7008,142.3292,3.3505,0
39.0073,1.9251,0.9914,161.2119,3.5639,0
46.4822,2.0436,0.8511,155.8237,3.3383,0
31.0455,1.9939,1.1837,138.8037,3.4131,0
48.9891,1.9875,1.4509,159.3902,3.5685,0
38.6603,2.1126,0.971,164.4665,3.5347,0
34.6939,2.0577,1.3664,130.5887,3.3372,0
42.2191,2.0799,0.9414,157.5898,3.5935,0
44.2499,1.9935,0.9843,164.5,3.661,0
44.0546,2.0614,1.3193,158.606,3.5326,0
36.4437,2.0896,1.4814,154.6385,3.4575,0
34.8701,2.1304,0.74,147.0043,3.5743,0
42.7042,2.0503,1.4917,161.05,3.5285,0
45.6774,2.0377,1.5317,169.091,3.5344,0
41.1182,2.0742,1.488,147.7859,3.6042,0
39.1519,2.067,1.2522,127.1097,3.3109,0
41.2295,2.0204,1.4328,143.9512,3.4729,0
35.223,2.0763,0.9685,133.2928,3.1945,0
51.6137,2.1717,0.8432,162.6035,3.5106,0
50.1421,2.1769,0.8887,156.254,3.5034,0
40.8166,2.0468,0.7555,168.134,3.5494,0
33.3718,2.0075,0.5023,153.2157,3.3634,0
48.9891,2.0007,1.4716,159.4092,3.5743,0
38.8164,2.0922,1.5115,167.5635,3.5582,0
48.9891,1.9875,1.1539,154.1802,3.5685,0
38.5495,2.0562,1.1419,153.1375,3.4831,0
25.2882,2.0895,2.1997,129.5627,3.3314,0
37.5447,2.114,0.9048,160.1315,3.6184,0
38.87,2.0505,0.9628,153.2525,3.4601,0
46.2385,2.0775,1.0724,166.4072,3.5008,0
41.6328,2.0723,0.8907,146.2045,3.5844,0
37.0979,1.9569,1.0681,146.7977,3.4488,0
50.9941,2.0122,0.62,165.3539,3.6665,0
23.6094,1.8709,1.0197,111.9477,3.1386,1
7.8612,1.9099,0.2319,67.9057,2.8051,1
25.1747,2.0453,1.1326,129.3109,3.2717,1
31.9875,1.9178,0.7993,145.2756,3.3033,1
14.9505,2.0641,4.223,68.656,2.5173,1
14.9505,2.0641,2.0807,69.4004,2.5189,1
22.5401,1.8982,0.9087,150.5027,3.3715,1
32.9063,2.0862,0.8331,129.8947,3.2245,1
24.5944,1.9746,0.8197,131.2339,3.252,1
32.6125,2.0451,1.0596,134.1382,3.4105,1
30.8363,2.0775,0.6407,123.0387,3.3714,1
24.1006,1.8874,1.1092,129.8004,3.3216,1
25.2822,2.0294,1.0306,124.6238,3.1108,1
34.2818,1.933,1.2138,144.6195,3.3902,1
34.2818,1.9336,1.2018,151.4827,3.4016,1
33.4578,1.9504,1.0074,143.1042,3.4198,1
33.863,1.9187,1.1027,155.3347,3.389,1
27.3803,1.9457,1.699,140.1315,3.4266,1
18.6832,2.0324,0.5014,122.0813,3.2735,1
31.9002,2.0172,0.994,118.0314,3.1744,1
24.2566,2.0187,0.96,130.4974,3.3264,1
31.283,1.9021,1.2004,129.6942,3.2839,1
37.4368,2.0423,0.8127,143.1954,3.3345,1
11.8619,1.9812,3.7373,68.636,2.9097,1
31.588,1.9691,1.4751,142.6533,3.2787,1
32.9174,1.927,1.2063,130.8423,3.2152,1
31.588,1.9687,1.3618,137.6013,3.2787,1
13.6305,2.0708,0.7954,71.9807,2.8103,1
33.1806,2.0701,0.985,125.0777,3.256,1
28.357,1.9242,0.9103,133.7697,3.2822,1
26.4286,1.9162,1.2687,144.0674,3.2904,0
9.8829,2.0006,0.272,53.691,2.5034,0
